,Images,Preds,Groundtruth
63,Haras&Fight_Pub_N070,0,0
64,Haras&Fight_Pub_N071,0,0
65,Haras&Fight_Pub_N072,0,0
66,Haras&Fight_Pub_N073,0,0
67,Haras&Fight_Pub_N074,0,0
68,Haras&Fight_Pub_N075,0,0
69,Haras&Fight_Pub_N076,0,0
70,Haras&Fight_Pub_N077,0,0
71,Haras&Fight_Pub_N078,1,0
72,Haras&Fight_Pub_N079,0,0
73,Haras&Fight_Pub_N080,0,0
74,Haras&Fight_Pub_N081,0,0
75,Haras&Fight_Pub_N082,0,0
76,Haras&Fight_Pub_N083,0,0
77,Haras&Fight_Pub_N084,0,0
78,Haras&Fight_Pub_N085,0,0
79,Haras&Fight_Pub_N086,0,0
80,Haras&Fight_Pub_N087,0,0
81,Haras_Fight_Pub_N001,0,0
82,Haras_Fight_Pub_N002,0,0
83,Haras_Fight_Pub_N003,0,0
84,Haras_Fight_Pub_N004,0,0
85,Haras_Fight_Pub_N005,0,0
86,Haras_Fight_Pub_N006,0,0
87,Haras_Fight_Pub_N007,0,0
88,Haras_Fight_Pub_N008,0,0
89,Haras_Fight_Pub_N009,0,0
90,Haras_Fight_Pub_N010,1,0
91,Haras_Fight_Pub_N011,0,0
92,Haras_Fight_Pub_N012,0,0
93,Haras_Fight_Pub_N013,1,0
94,Haras_Fight_Pub_N014,1,0
95,Haras_Fight_Pub_N015,0,0
96,Haras_Fight_Pub_N016,0,0
97,Haras_Fight_Pub_N017,0,0
98,Haras_Fight_Pub_N018,0,0
99,Haras_Fight_Pub_N019,0,0
100,Haras_Fight_Pub_N020,0,0
101,Haras_Fight_Pub_N021,0,0
102,Haras_Fight_Pub_N022,0,0
103,Haras_Fight_Pub_N023,0,0
104,Haras_Fight_Pub_N024,0,0
105,Haras_Fight_Pub_N025,0,0
106,Haras_Fight_Pub_N026,0,0
107,Haras_Fight_Pub_N027,0,0
108,Haras_Fight_Pub_N028,0,0
109,Haras_Fight_Pub_N029,0,0
110,Haras_Fight_Pub_N030,1,0
111,Haras_Pub_P001,1,1
112,Haras_Pub_P002,0,1
113,Haras_Pub_P003,1,1
114,Haras_Pub_P004,1,1
115,Haras_Pub_P005,1,1
116,Haras_Pub_P006,1,1
117,Haras_Pub_P007,1,1
118,Haras_Pub_P008,1,1
119,Haras_Pub_P009,1,1
120,Haras_Pub_P010,1,1
121,Haras_Pub_P011,1,1
122,Haras_Pub_P012,1,1
123,Haras_Pub_P013,1,1
124,Haras_Pub_P014,0,1
125,Haras_Pub_P015,1,1
126,Haras_Pub_P016,0,1
127,Haras_Pub_P017,0,1
128,Haras_Pub_P018,0,1
129,Haras_Pub_P019,0,1
130,Haras_Pub_P020,1,1
131,Haras_Pub_P021,0,1
132,Haras_Pub_P022,1,1
133,Haras_Pub_P023,1,1
134,Haras_Pub_P024,1,1
135,Haras_Pub_P025,0,1
136,Haras_Pub_P026,1,1
137,Haras_Pub_P027,1,1
138,Haras_Pub_P028,1,1
139,Haras_Pub_P029,1,1
140,Haras_Pub_P030,1,1
141,Haras_Pub_P031,1,1
142,Haras_Pub_P032,1,1
143,Haras_Pub_P033,1,1
144,Haras_Pub_P034,1,1
145,Haras_Pub_P035,1,1
146,Haras_Pub_P036,1,1
147,Haras_Pub_P037,1,1
148,Haras_Pub_P038,1,1
149,Haras_Pub_P039,1,1
150,Haras_Pub_P040,1,1
151,Haras_Pub_P041,0,1
152,Haras_Pub_P042,1,1
153,Haras_Pub_P043,1,1
154,Haras_Pub_P044,1,1
155,Haras_Pub_P045,1,1
156,Haras_Pub_P046,1,1
157,Haras_Pub_P047,1,1
158,Haras_Pub_P048,1,1
159,Haras_Pub_P049,1,1
160,Haras_Pub_P050,1,1
161,Haras_Pub_P051,1,1
162,Haras_Pub_P052,1,1
163,Haras_Pub_P053,1,1
164,Haras_Pub_P054,1,1
165,Haras_Pub_P055,0,1
166,Haras_Pub_P056,1,1
167,Haras_Pub_P057,1,1
168,Haras_Pub_P058,1,1
169,Haras_Pub_P059,1,1
170,Haras_Pub_P060,1,1
171,Haras_Pub_P061,1,1
172,Haras_Pub_P062,1,1
173,Haras_Pub_P063,1,1
174,Haras_Pub_P064,1,1
175,Haras_Pub_P065,1,1
176,Haras_Pub_P066,1,1
177,Haras_Pub_P067,0,1
178,Haras_Pub_P068,1,1
179,Haras_Pub_P069,1,1
180,Haras_Pub_P070,1,1
